name,pub_time,con_finish_time,click_num,dock_enter_num,func_use,main_indice,type
VPX机箱,http://www.weain.mil.cn/cgxq/ky/cpsbl/635227.html,2019-01-04,2019-01-09,0,,研究便携式设备。,,all
加固笔记本,http://www.weain.mil.cn/cgxq/ky/cpsbl/635226.html,2019-01-04,2019-01-09,2,,研究便携式设备。,,all
15KVA不间断电源,http://www.weain.mil.cn/cgxq/gz/cpsbl/635004.html,2018-12-30,2019-01-20,393,,老旧设备更新替换,,all
路由器,http://www.weain.mil.cn/cgxq/gz/cpsbl/635003.html,2018-12-30,2019-01-20,296,,接入节点老旧设备更新替换,,all
计算机,http://www.weain.mil.cn/cgxq/gz/cpsbl/635002.html,2018-12-30,2019-01-20,254,,老旧设备更新替换,,all
交换机,http://www.weain.mil.cn/cgxq/gz/cpsbl/635001.html,2018-12-30,2019-01-20,272,,老旧设备更新替换，与新购路由器配套使用汇聚接入本地局域网,,all
服务器,http://www.weain.mil.cn/cgxq/gz/cpsbl/635000.html,2018-12-30,2019-01-20,319,,老旧设备更新替换,,all
发动机转速测量仪等5型仪器采购项目,http://www.weain.mil.cn/cgxq/gz/cpsbl/634611.html,2018-12-28,2019-01-02,319,,保障装备定型试验,,all
重大任务保障应急设备器材,http://www.weain.mil.cn/cgxq/gz/cpsbl/634312.html,2018-12-26,2019-01-09,774,,主要用于重大任务保障信息传输引接。,,all
市话电缆,http://www.weain.mil.cn/cgxq/gz/cpsbl/634311.html,2018-12-26,2019-01-09,228,,用于任务保障话音通信引接和线路维护保障,,all
任务保障传输系统器材,http://www.weain.mil.cn/cgxq/gz/cpsbl/634310.html,2018-12-26,2019-01-09,337,,主要用于任务保障重要传输系统技术保障。,,all
重大任务保障应急器材,http://www.weain.mil.cn/cgxq/gz/cpsbl/634309.html,2018-12-26,2019-01-09,463,,主要用于重大任务保障信息传输引接。,,all
网络分析软件,http://www.weain.mil.cn/cgxq/ky/yjjsl/634117.html,2018-12-25,2018-12-29,435,,目的：实现网络故障分析等功能,,all
操纵稳定性测试（A型装备、B型装备、C型装备）,http://www.weain.mil.cn/cgxq/gz/cpsbl/615669.html,2018-12-21,2018-12-27,260,,主要测试转向轻便、转向回正、稳态回转等三项试验内容提供测试设备和条件并进行后期数据处理,,all
